Feature name,Safety score,Cost score,Environmental score
Forward Collision Warning / AEB,1.0,0.8333333333333334,0.6666666666666666
Blind-Spot Monitoring,0.8,0.5,0.5
Lane-Keeping Assist,0.6,0.6666666666666666,0.5
Driver Monitoring System,0.6,0.3333333333333333,0.3333333333333333
Adaptive Cruise Control,0.4,1.0,0.8333333333333334
Traffic Jam Assist,0.4,0.8333333333333334,0.8333333333333334
Rear Cross Traffic Alert,0.4,0.16666666666666666,0.3333333333333333
Pedestrian Detection,1.0,0.5,0.5
High-Resolution Front Camera,0.8,0.8333333333333334,0.8333333333333334
Side Radar Units,0.6,1.0,1.0
Collision Avoidance Steering,0.8,1.0,0.8333333333333334
360 Degree Camera System,0.6,0.6666666666666666,0.6666666666666666
Automatic Parking Assist,0.0,0.16666666666666666,0.16666666666666666
Automatic Headlight Control,0.0,0.0,0.0
Traffic Sign Recognition,0.2,0.3333333333333333,0.16666666666666666
